parameter_set_id,metric_name,candidate_branch,tail_occurrence_count_11_28,tail_occurrence_count_12_00,selected_count_11_28,selected_count_12_00,mean_P_L_11_28,mean_P_L_12_00,delta_P_L,mean_P1_11_28,mean_P1_12_00,delta_P1,mean_P2_11_28,mean_P2_12_00,delta_P2,mean_line_loading_11_28,mean_line_loading_12_00,delta_line_loading,candidate_tail_driver,note
high_hidden_failure,CRI,6,167,194,0,0,0.0112562793186049,0.0145001783419612,0.00324389902335632,0.0052712793186049,0.00851517834196121,0.00324389902335631,0.005975,0.005975,1.73472347597681e-18,0.463915743495631,0.423755543022276,-0.0401602004733551,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,7,167,194,4,9,0.071839884896199,0.0626814560155773,-0.0091584288806217,0.0656125967221557,0.0565407462141753,-0.00907185050798044,0.00857402861537539,0.00654640337239038,-0.00202762524298501,0.291152652132343,0.285274268403424,-0.00587838372891936,selected_more_often_at_12mps,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,8,127,132,21,26,0.268886113454217,0.286235050637039,0.0173489371828218,0.261895759123509,0.279585050637039,0.0176892915135305,0.0158513696139643,0.0130268325095775,-0.00282453710438673,0.637556129285306,0.670973561601043,0.0334174323157378,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,9,144,189,17,5,0.2273515542,0.124798879933274,-0.102552674266726,0.220479887533333,0.118349435488829,-0.102130452044504,0.0240976298176606,0.0140265025155148,-0.0100711273021458,0.757967847953457,0.529904385425756,-0.228063462527701,no_clear_driver,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,10,132,196,0,0,0.00656119455,0.00656119455,-2.60208521396521e-18,0.00057619455,0.00057619455,-4.33680868994202e-19,0.005975,0.005975,2.60208521396521e-18,0.482498226448797,0.417335151739278,-0.0651630747095194,P2_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,11,119,153,0,0,0.006544364125,0.006544364125,0,0.000559364125,0.000559364125,0,0.005975,0.005975,1.73472347597681e-18,0.378157050433095,0.350478056526756,-0.0276789939063392,P2_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,12,110,164,23,19,0.199706586891769,0.121313522802082,-0.0783930640896865,0.193431405073587,0.114928229288872,-0.0785031757847148,0.00718643348530357,0.00661939924751273,-0.000567034237790837,0.677390023358819,0.535341940179023,-0.142048083179797,no_clear_driver,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,13,119,102,36,39,0.307042062030672,0.386356524810294,0.0793144627796219,0.299850003207143,0.378845936575,0.078995933367857,0.0207918117691834,0.0184574461215486,-0.00233436564763479,0.732047422883987,0.750940865237672,0.0188934423536851,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,14,148,162,9,15,0.0747519610390487,0.0897374395526759,0.0149854785136272,0.0685243259039136,0.0836785506637869,0.0151542247598733,0.00773650010510012,0.00674435686200076,-0.000992143243099355,0.595114818941582,0.618557194607231,0.023442375665649,P_L_increase,11.28 vs 12.00 tail candidate delta.
high_hidden_failure,CRI,15,149,187,0,0,0.00600777057499999,0.006007770575,8.67361737988404e-19,2.2770575e-05,2.2770575e-05,-6.7762635780344e-21,0.005975,0.005975,0,0.356183484654853,0.340454077811668,-0.0157294068431841,P_L_increase,11.28 vs 12.00 tail candidate delta.
