parameter_set_id,target_group,scenario_id,sample_variant,metric_name,metric_source,sigma,paper_value,sim_var_value,absolute_gap,relative_gap,ratio_paper_to_sim,match_status,note
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_display,SLFOR,SLFOR,0.95,4.2521,15.0290429068584,10.7769429068584,2.53449833549542,0.282925515844663,wrong_scale,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_display,SNVOR,SNVOR,0.95,4.6697,8.88296068066219,4.21326068066219,0.902254915392268,0.525691787027037,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,5.6183,7.26589364518619,1.64759364518619,0.293254783819199,0.773242700913953,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_display,CRI,CRI_basic,0.95,5.6183,7.2658936451862,1.6475936451862,0.293254783819201,0.773242700913952,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_display,SLLR,SLLR,0.95,7.8006,5.53,-2.2706,0.291080136004905,1.41059648994639,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_display,SLFOR,SLFOR,0.95,5.8361,27.116935924341,21.280835924341,3.64641323451068,0.215219735779277,wrong_scale,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_display,SNVOR,SNVOR,0.95,6.2773,9.99260887050966,3.71530887050966,0.591864062358912,0.628194243680589,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,7.103,8.29496812557383,1.19196812557383,0.167811904513857,0.856302162487992,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_display,CRI,CRI_basic,0.95,7.103,8.29496812557383,1.19196812557383,0.167811904513857,0.856302162487992,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_display,SLLR,SLLR,0.95,14.0526,5.14,-8.9126,0.634231342653221,2.73396833969488,same_order,sigma=0.95 chain-risk VaR comparison
